Id,Note,Name,Name_zh-Hant,Name_en,Name_ja,Description,Description_zh-Hant,Description_en,Description_ja,AttributeText,AttributeText_zh-Hant,AttributeText_en,AttributeText_ja
43,精英,清理,清理,Cleansing,浄化,<color=red>精英</color><br>执行净化使命的冷酷审判者，他认为自己是深渊意志的代行者，要将这个世界的污秽全部清除干净。,<color=red>精英</color><br>執行凈化使命的冷酷審判者，他認為自己是深淵意志的代行者，要將這個世界的污穢全部清除干凈。,"<color=red>Elite</color><br>A cold judge carrying out a mission of purification. He believes himself to be an agent of the Abyss's will, determined to cleanse every impurity from this world.",<color=red>エリート</color><br>浄化の使命を遂行する冷酷な審判者。彼は自らを深淵の意志の代行者だと考え、この世界の汚れをすべて清め尽くそうとしている。,,,,
44,精英,玩偶剧,玩偶劇,Puppet Show,人形遣い,<color=red>精英</color><br>娇小的少女和巨大的玩偶熊共同出演这场话剧，与她共舞时务必慎重，先后顺序的不同可能导致截然相反的结果,<color=red>精英</color><br>嬌小的少女和巨大的玩偶熊共同出演這場話劇，與她共舞時務必慎重，先后順序的不同可能導致截然相反的結果,<color=red>Elite</color><br>A petite girl and a giant doll bear perform in this play together. Be careful when dancing with her; a different order may lead to entirely opposite results.,<color=red>エリート</color><br>小柄な少女と巨大なぬいぐるみ熊が、ともにこの芝居を演じる。彼女と踊るときは慎重に。順番が違えば、まったく逆の結果を招くかもしれない。,,,,
45,普通,最后一餐,最后一餐,Last Supper,満腹,<color=yellow>普通</color><br>每一场宴席都离不开的碳水摄入，这里不是安全屋，来迎接你的最后一餐吧~,<color=yellow>普通</color><br>每一場宴席都離不開的碳水攝入，這里不是安全屋，來迎接你的最后一餐吧~,<color=yellow>Common</color><br>No banquet is complete without carbohydrates. This is not a safe house. Come meet your final meal~,<color=yellow>ノーマル</color><br>どんな宴にも欠かせない炭水化物の摂取。ここは安全屋ではない。あなたの最後の一餐を迎えに来てね～,,,,
46,普通,恶意聚合体,惡意聚合體,Malignant Mass,悪意,<color=yellow>普通</color><br>未能汇聚成形的恶意，挣扎着，试图将半成品的躯壳凝聚成核,<color=yellow>普通</color><br>未能匯聚成形的惡意，掙扎著，試圖將半成品的軀殼凝聚成核,"<color=yellow>Common</color><br>Malice that failed to gather into form struggles, trying to condense its half-finished shell into a core.",<color=yellow>ノーマル</color><br>形を成すことに失敗した悪意がもがき、半製品の殻を核へと凝集させようとしている。,,,,
*47,普通,测试关,測試關,Tutorial Level,テストステージ,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教學關1。,<color=yellow>Common</color><br>Tutorial Level 1.,<color=yellow>ノーマル</color><br>チュートリアルステージ1。,,,,
48,建筑,血脉铭刻,血脈銘刻,Bloodline Inscription,血脈の刻印,<color=green>安全</color><br>一种魔族主脉才会举行的传统习俗，通过将古老的符号烙印上精神世界的方式，被铭刻者将被赋予传承自血脉的永久升华，以及随之而来嵌合在基因中的枷锁,<color=green>安全</color><br>一種魔族主脈才會舉行的傳統習俗，通過將古老的符號烙印上精神世界的方式，被銘刻者將被賦予傳承自血脈的永久升華，以及隨之而來嵌合在基因中的枷鎖,"<color=green>Safe</color><br>A tradition practiced only by the main line of demonkind. By branding ancient symbols into the spiritual world, the one engraved receives a permanent ascension inherited from their bloodline, along with shackles embedded in their genes.",<color=green>安全</color><br>魔族の主脈だけが行う伝統的な習俗。古い符号を精神世界へ焼き付けることで、刻まれた者には血脈から受け継がれる恒久的な昇華と、遺伝子に組み込まれた枷が与えられる。,,,,
*49,普通,测试关,測試關,Tutorial Level,テストステージ,<color=yellow>普通</color><br>教学关1。,<color=yellow>普通</color><br>教學關1。,<color=yellow>Common</color><br>Tutorial Level 1.,<color=yellow>ノーマル</color><br>チュートリアルステージ1。,,,,
*50,普通,测试关,測試關,Tutorial Level,テストステージ,<color=yellow>普通</color><br>教学关2。,<color=yellow>普通</color><br>教學關2。,<color=yellow>Common</color><br>Tutorial Level 2.,<color=yellow>ノーマル</color><br>チュートリアルステージ2。,,,,
*999,首领,魔王,魔王,Demon King,魔王,"<color=red>噩梦</color><br>热爱知识与书籍的第五代魔王
在勇者已经失踪的现在，失去对手的魔王并不打算干涉联邦和教廷的琐事
维系她存在价值的责任感，如今仅剩保护好魔族子民的执念
因此，奥尔德林暴力的顶点会让一切入侵者重新认清自己的位置","<color=red>噩夢</color><br>熱愛知識與書籍的第五代魔王
在勇者已經失蹤的現在，失去對手的魔王并不打算干涉聯邦和教廷的瑣事
維系她存在價值的責任感，如今僅剩保護好魔族子民的執念
因此，奧爾德林暴力的頂點會讓一切入侵者重新認清自己的位置","<color=red>Nightmare</color><br>The fifth-generation Demon King, who loves knowledge and books.
With the Hero already missing, the Demon King who has lost her rival has no intention of meddling in the trivial affairs of the Federation and the Church.
The sense of duty that sustained the value of her existence has now dwindled to a single obsession: protecting the people of demonkind.
Thus, the apex of Aldrin's violence will force every invader to recognize their place once more.","<color=red>悪夢</color><br>知識と書物を愛する第五代魔王。
勇者がすでに行方不明となった今、相手を失った魔王は連邦と教廷の些事に干渉するつもりはない。
彼女の存在価値を支えていた責任感は、今や魔族の民を守り抜くという執念だけになった。
ゆえに、オルドリンにおける暴力の頂点は、すべての侵入者に自らの立場を改めて思い知らせる。",,,,
*1000,首领,永夜化身,永夜化身,Avatar of Eternal Night,終焉の刻,"<color=red>噩梦 </color><br>无数的黑暗汇聚成如山一般的身躯
巨大的骨刺自影魔之王的胸腔穿出
张开血色的三目，午夜十分的怪物自沉眠中苏醒","<color=red>噩夢 </color><br>無數的黑暗匯聚成如山一般的身軀
巨大的骨刺自影魔之王的胸腔穿出
張開血色的三目，午夜十分的怪物自沉眠中蘇醒","<color=red>Nightmare </color><br>Countless darknesses gather into a mountain-like body.
Massive bone spikes burst from the chest of the Shadow King.
Opening its blood-colored three eyes, the monster of midnight awakens from slumber.","<color=red>悪夢 </color><br>無数の闇が集まり、山のような躯となる。
巨大な骨棘が影魔の王の胸腔から突き出す。
血色の三つ目を開き、真夜中の怪物が眠りから目覚める。",,,,
*1001,首领,神圣审判机关,神圣審判機關,Holy Judgment Engine,神聖審判機関,<color=red>噩梦</color><br>,<color=red>噩夢</color><br>,<color=red>Nightmare</color><br>,<color=red>悪夢</color><br>,,,,
*1002,首领,历战勇者,歷戰勇者,Battle-Hardened Hero,歴戦の勇者,<color=red>噩梦</color><br>,<color=red>噩夢</color><br>,<color=red>Nightmare</color><br>,<color=red>悪夢</color><br>,,,,
1003,精英,混血龙裔,混血龍裔,Half-Dragonkin,混血竜裔,<color=red>精英</color><br>,<color=red>精英</color><br>,<color=red>Elite</color><br>,<color=red>エリート</color><br>,,,,
*1004,首领,鬼牌:大王,鬼牌：大王,Joker: King,ジョーカー：大王,<color=red>噩梦</color><br>,<color=red>噩夢</color><br>,<color=red>Nightmare</color><br>,<color=red>悪夢</color><br>,,,,
*1005,首领,欲念魔女,欲念魔女,Desire Witch,欲念の魔女,<color=red>噩梦</color><br>,<color=red>噩夢</color><br>,<color=red>Nightmare</color><br>,<color=red>悪夢</color><br>,,,,
